id,created_at,closed_at,state,comments,title
3728,2020-08-30 14:52:30.000000000,1970-01-01 00:00:00.000000001,open,6,Mailcow Installation with small storage footprint
3727,2020-08-29 00:56:46.000000000,2020-08-29 01:00:05.000000000,closed,1,Unable to extract DKIM private Key
3726,2020-08-28 21:49:57.000000000,2020-08-28 22:27:33.000000000,closed,1,Frage: Aufbau yml Datei
3725,2020-08-28 15:00:35.000000000,1970-01-01 00:00:00.000000001,open,2,RSPAMD-Container restarts automatically
3724,2020-08-27 05:48:04.000000000,2020-08-31 09:33:03.000000000,closed,5,Transport maps are not working
3723,2020-08-27 01:15:00.000000000,1970-01-01 00:00:00.000000001,open,7,Anonymize source IP from emails sent between mailcow hosted domains
3722,2020-08-26 03:01:11.000000000,2020-08-26 17:27:55.000000000,closed,1,Mailcow connect from unknown
3721,2020-08-25 20:53:10.000000000,2020-08-25 20:53:39.000000000,closed,0,[Web] Added new options to API docs
3720,2020-08-25 20:46:55.000000000,1970-01-01 00:00:00.000000001,open,5,Allow setting the domain from which the watchdog will send its emails
3719,2020-08-25 12:26:27.000000000,1970-01-01 00:00:00.000000001,open,3,[SOGo] Cannot reply or transfer some emails
3718,2020-08-25 11:11:38.000000000,1970-01-01 00:00:00.000000001,open,0,Virus scan mailbox
3717,2020-08-24 18:58:15.000000000,1970-01-01 00:00:00.000000001,open,0,Change identity / send-emailaddress globally
3716,2020-08-23 04:53:49.000000000,2020-08-23 13:18:15.000000000,closed,1,OAuth can fail due to wrong content type
3715,2020-08-20 20:52:19.000000000,2020-08-21 00:08:17.000000000,closed,3,Use separate .conf file to store secret values
3714,2020-08-19 00:37:12.000000000,2020-08-19 00:57:58.000000000,closed,1,[Web] update lang.sk.json
3713,2020-08-19 00:36:23.000000000,1970-01-01 00:00:00.000000001,open,1,Email Aliases in Drop Down for BCC Maps under Address Rewriting
3712,2020-08-18 19:34:26.000000000,2020-08-18 19:40:46.000000000,closed,0,autoconfig template not expanding %EMAILDOMAIN% and %EMAILADDRESS%
3710,2020-08-18 13:51:30.000000000,2020-08-18 14:28:11.000000000,closed,3,iOS Profile does not work with App Passwords
3709,2020-08-17 22:04:33.000000000,1970-01-01 00:00:00.000000001,open,0,backup issue with older mailcow preventing backup and then upgrade ..
3708,2020-08-16 15:15:01.000000000,1970-01-01 00:00:00.000000001,open,0,Prevent update.sh from crashing docker-compose under Alpine Linux
3707,2020-08-16 07:45:58.000000000,2020-08-16 10:16:58.000000000,closed,1,Only FQDN gets SSL after Nginx Reverse Proxy
3706,2020-08-16 01:38:25.000000000,2020-08-16 14:01:44.000000000,closed,5,enoded/rotated mail address in Hint text with ROT13
3705,2020-08-15 02:46:55.000000000,2020-08-15 02:49:19.000000000,closed,2,.
3704,2020-08-14 23:04:03.000000000,2020-08-15 12:27:58.000000000,closed,0,[API docs] Added request body for sync job creation endpoint
3703,2020-08-13 11:03:33.000000000,2020-08-13 12:56:15.000000000,closed,2,Add check that MX point only to A/AAAA record in mailcow DNS Diagnostic Tool
3702,2020-08-10 16:46:27.000000000,2020-08-10 20:24:02.000000000,closed,6,Question about adding multiple domains to a mailcow instance
3701,2020-08-10 13:39:09.000000000,2020-08-11 23:27:11.000000000,closed,2,Need some help with email client Outlook from a Microsoft 365 subscription
3700,2020-08-09 14:43:24.000000000,2020-08-09 15:27:06.000000000,closed,1,Alias receipt not working
3699,2020-08-09 05:32:56.000000000,1970-01-01 00:00:00.000000001,open,3,CSS / Javascript not working with reverse proxy.
3698,2020-08-07 22:13:29.000000000,1970-01-01 00:00:00.000000001,open,0,SOGo 2Fa concers
3697,2020-08-07 19:07:09.000000000,1970-01-01 00:00:00.000000001,open,0,Show User filter in global filter list
3696,2020-08-05 15:25:05.000000000,1970-01-01 00:00:00.000000001,open,2,Swagger Documentation Correction
3695,2020-08-05 15:11:33.000000000,2020-08-05 23:10:11.000000000,closed,1,Mailcow API Delete Alias returns blank string
3694,2020-08-05 00:17:19.000000000,1970-01-01 00:00:00.000000001,open,0,Community Forum / Community Support
3693,2020-08-04 22:52:41.000000000,1970-01-01 00:00:00.000000001,open,5,Add mail deeplink to pushover notifications
3692,2020-08-04 11:20:51.000000000,1970-01-01 00:00:00.000000001,open,1,Change login email address
3691,2020-08-03 23:52:48.000000000,1970-01-01 00:00:00.000000001,open,0,LetsEncrypt stopped suddenly renewing certificates
3690,2020-08-03 20:47:56.000000000,1970-01-01 00:00:00.000000001,open,7,Postfix / Thunderbird SNI SSL domain ?
3689,2020-08-03 10:51:32.000000000,2020-08-03 12:03:24.000000000,closed,5,Lets Encrypt Certificate more 100 records error
3688,2020-08-02 00:21:38.000000000,1970-01-01 00:00:00.000000001,open,1,postfix cant connect to ips
3687,2020-07-31 20:08:36.000000000,2020-08-04 17:17:03.000000000,closed,5,SOGo UI: change default filter criterion
3686,2020-07-31 17:49:21.000000000,2020-07-31 21:47:04.000000000,closed,0,Update arc.conf
3685,2020-07-31 17:48:41.000000000,2020-07-31 21:46:40.000000000,closed,2,Update dkim_signing.conf
3684,2020-07-31 01:26:44.000000000,1970-01-01 00:00:00.000000001,open,1,Create mailcow-update-mailbox-acl.sh
3683,2020-07-30 17:19:40.000000000,2020-07-30 17:24:30.000000000,closed,1,Add urlhaus map with urls to rspamd
3682,2020-07-30 03:05:47.000000000,2020-07-30 09:28:47.000000000,closed,1,[Web] lang.sv.json
3681,2020-07-29 23:09:27.000000000,1970-01-01 00:00:00.000000001,open,2,Sign Mobile Profiles with LetsEncrypt Certificate
3680,2020-07-29 14:45:42.000000000,2020-07-29 15:42:40.000000000,closed,2,Disable SMTPUTF8 in Postfix due Dovecot-LMTP isn't support it
3679,2020-07-29 14:16:26.000000000,2020-07-29 21:03:12.000000000,closed,2,Update lang.fr.json
3678,2020-07-27 22:19:49.000000000,2020-07-28 00:11:40.000000000,closed,0,Update lang.nl.json
3677,2020-07-27 18:26:03.000000000,2020-07-27 18:28:34.000000000,closed,1,There is not an option for a Read Receipt now.  I've always had one and now it is gone.  I look in the settings for Composing an email and the option is not there either.  Where has this been moved to?
3676,2020-07-27 17:01:25.000000000,2020-07-27 17:07:20.000000000,closed,4,Quota (doch nicht) wertlos
3675,2020-07-25 04:03:02.000000000,2020-07-25 11:11:47.000000000,closed,0,php-fpm - Warning - pspell.so
3674,2020-07-25 03:47:45.000000000,2020-07-26 00:38:45.000000000,closed,6,update.sh - line 424 (iptables)
3673,2020-07-22 21:33:13.000000000,2020-07-22 22:58:21.000000000,closed,2,Moved email not reflected in GUI
3672,2020-07-22 18:04:32.000000000,1970-01-01 00:00:00.000000001,open,3,Watchdog: Allow sending notifications via Slack webhooks
3671,2020-07-22 16:52:00.000000000,2020-07-23 00:31:52.000000000,closed,6,BIMI support?
3670,2020-07-22 15:28:38.000000000,1970-01-01 00:00:00.000000001,open,0,Sieve Validation with Extensions
3669,2020-07-22 13:26:34.000000000,1970-01-01 00:00:00.000000001,open,0,[Nginx] Refresh cipher suites
3668,2020-07-21 15:15:26.000000000,1970-01-01 00:00:00.000000001,open,2,Circular DNS dependency between nginx and rspamd
3667,2020-07-19 19:40:00.000000000,1970-01-01 00:00:00.000000001,open,2,Goto says invalid address (but it's valid)
3666,2020-07-18 21:40:29.000000000,2020-07-18 21:42:03.000000000,closed,0,[WEB] Fixed schema for add/dkim api docs
